plasmid	type
CP030497.1	community_1_subcommunity_3699
CP049552.1	community_1_subcommunity_3699
NZ_CP069471.1	community_1_subcommunity_3699
CP049539.1	community_1_subcommunity_3699
CP052013.1	community_1_subcommunity_3699
NC_013324.1	community_1_subcommunity_3699
CP051925.1	community_1_subcommunity_3699
NZ_CP044105.1	community_1_subcommunity_3699
NZ_CP080549.1	community_1_subcommunity_3699
NZ_CP069217.1	community_1_subcommunity_3699
CP049428.1	community_1_subcommunity_3699
CP030444.1	community_1_subcommunity_3699
CP049375.1	community_1_subcommunity_3699
CP049408.1	community_1_subcommunity_3699
NC_018952.1	community_1_subcommunity_3699
NZ_CP013229.1	community_1_subcommunity_3699
NZ_CP047842.1	community_1_subcommunity_3699
CP030690.1	community_1_subcommunity_3699
NZ_CP029665.1	community_1_subcommunity_3699
NZ_MF477836.1	community_1_subcommunity_3699
NZ_CP068078.1	community_1_subcommunity_3699
NC_003140.1	community_1_subcommunity_3699
NZ_MH785227.1	community_1_subcommunity_3699
NC_017345.1	community_1_subcommunity_3699
CP049563.1	community_1_subcommunity_3699
NZ_KM521837.1	community_1_subcommunity_3699
NZ_CP035004.1	community_1_subcommunity_3699
NZ_AP014922.1	community_1_subcommunity_3699
NZ_AP019546.1	community_1_subcommunity_3699
CP050001.1	community_1_subcommunity_3699
NZ_CP065708.1	community_1_subcommunity_3699
CP030523.1	community_1_subcommunity_3699
CP030587.1	community_1_subcommunity_3699
CP049559.1	community_1_subcommunity_3699
NZ_CP016860.1	community_1_subcommunity_3699
NC_020183.2	community_1_subcommunity_3699
NC_009619.1	community_1_subcommunity_3699
CP049576.1	community_1_subcommunity_3699
CP051906.1	community_1_subcommunity_3699
CP030669.1	community_1_subcommunity_3699
CP049407.1	community_1_subcommunity_3699
CP051920.1	community_1_subcommunity_3699
CP030666.1	community_1_subcommunity_3699
NZ_CP026954.1	community_1_subcommunity_3699
CP030700.1	community_1_subcommunity_3699
LN866850.1	community_1_subcommunity_3699
NZ_CP043303.1	community_1_subcommunity_3699
NZ_CP068220.1	community_1_subcommunity_3699
NZ_KY436025.1	community_1_subcommunity_3699
NZ_CP033101.1	community_1_subcommunity_3699
NZ_CP022909.1	community_1_subcommunity_3699
NZ_CP040621.1	community_1_subcommunity_3699
CP051975.1	community_1_subcommunity_3699
CP049412.1	community_1_subcommunity_3699
NZ_CP035297.1	community_1_subcommunity_3699
CP030477.1	community_1_subcommunity_3699
NC_018963.1	community_1_subcommunity_3699
NZ_CP031281.1	community_1_subcommunity_3699
NC_018959.1	community_1_subcommunity_3699
NC_013296.1	community_1_subcommunity_3699
NC_013944.2	community_1_subcommunity_3699
NC_019150.1	community_1_subcommunity_3699
CP051924.1	community_1_subcommunity_3699
NC_022598.1	community_1_subcommunity_3699
NZ_CP046305.1	community_1_subcommunity_3699
CP049571.1	community_1_subcommunity_3699
CP049457.1	community_1_subcommunity_3699
CP030488.1	community_1_subcommunity_3699
NZ_CP039449.1	community_1_subcommunity_3699
CP049484.1	community_1_subcommunity_3699
NZ_CP026955.1	community_1_subcommunity_3699
NZ_AP020323.1	community_1_subcommunity_3699
CP049995.1	community_1_subcommunity_3699
CP051969.1	community_1_subcommunity_3699
CP030698.1	community_1_subcommunity_3699
CP030387.1	community_1_subcommunity_3699
CP030519.1	community_1_subcommunity_3699
CP030414.1	community_1_subcommunity_3699
CP030644.1	community_1_subcommunity_3699
CP049378.1	community_1_subcommunity_3699
NZ_CP030325.1	community_1_subcommunity_3699
CP030376.1	community_1_subcommunity_3699
CP049433.1	community_1_subcommunity_3699
CP030657.1	community_1_subcommunity_3699
NZ_LR027875.1	community_1_subcommunity_3699
NC_005004.1	community_1_subcommunity_3699
CP030485.1	community_1_subcommunity_3699
CP049546.1	community_1_subcommunity_3699
CP030509.1	community_1_subcommunity_3699
NZ_CP047848.1	community_1_subcommunity_3699
CP030662.1	community_1_subcommunity_3699
NZ_KY436024.1	community_1_subcommunity_3699
NZ_CP047836.1	community_1_subcommunity_3699
CP030466.1	community_1_subcommunity_3699
CP030401.1	community_1_subcommunity_3699
CP051951.1	community_1_subcommunity_3699
CP049382.1	community_1_subcommunity_3699
NZ_CP048646.1	community_1_subcommunity_3699
NZ_CP054576.1	community_1_subcommunity_3699
CP030446.1	community_1_subcommunity_3699
NZ_CP031887.1	community_1_subcommunity_3699
CP030442.1	community_1_subcommunity_3699
NZ_CP047808.1	community_1_subcommunity_3699
CP049507.1	community_1_subcommunity_3699
NZ_CP069566.1	community_1_subcommunity_3699
NZ_CP060272.1	community_1_subcommunity_3699
NC_013321.1	community_1_subcommunity_3699
CP049411.1	community_1_subcommunity_3699
CP049459.1	community_1_subcommunity_3699
CP049402.1	community_1_subcommunity_3699
NC_016942.1	community_1_subcommunity_3699
NZ_AP020319.1	community_1_subcommunity_3699
CP030707.1	community_1_subcommunity_3699
CP030530.1	community_1_subcommunity_3699
NZ_KR870313.1	community_1_subcommunity_3699
CP030397.1	community_1_subcommunity_3699
CP051897.1	community_1_subcommunity_3699
NZ_LR027872.1	community_1_subcommunity_3699
CP052974.1	community_1_subcommunity_3699
NZ_CP029199.1	community_1_subcommunity_3699
NC_010419.1	community_1_subcommunity_3699
NZ_CP031891.1	community_1_subcommunity_3699
CP030533.1	community_1_subcommunity_3699
CP030680.1	community_1_subcommunity_3699
CP049992.1	community_1_subcommunity_3699
NZ_CP013954.1	community_1_subcommunity_3699
NZ_CP014394.1	community_1_subcommunity_3699
CP030555.1	community_1_subcommunity_3699
NZ_MK933273.1	community_1_subcommunity_3699
NC_007169.1	community_1_subcommunity_3699
CP051977.1	community_1_subcommunity_3699
NZ_CP014434.1	community_1_subcommunity_3699
CP030433.1	community_1_subcommunity_3699
NC_010063.1	community_1_subcommunity_3699
NC_013330.1	community_1_subcommunity_3699
NZ_CP047831.1	community_1_subcommunity_3699
NC_013292.1	community_1_subcommunity_3699
NZ_CP068245.1	community_1_subcommunity_3699
NZ_CP018767.1	community_1_subcommunity_3699
NZ_CP016857.1	community_1_subcommunity_3699
NZ_CP024810.1	community_1_subcommunity_3699
NZ_LT223129.1	community_1_subcommunity_3699
NZ_CP062466.1	community_1_subcommunity_3699
NC_021552.1	community_1_subcommunity_3699
NZ_CP047925.1	community_1_subcommunity_3699
NZ_CP014408.1	community_1_subcommunity_3699
CP049462.1	community_1_subcommunity_3699
NZ_CP041007.1	community_1_subcommunity_3699
NZ_CP014414.1	community_1_subcommunity_3699
NZ_CP022683.1	community_1_subcommunity_3699
NZ_MH785258.1	community_1_subcommunity_3699
CP030427.1	community_1_subcommunity_3699
CP030513.1	community_1_subcommunity_3699
NZ_CP009362.1	community_1_subcommunity_3699
CP051970.1	community_1_subcommunity_3699
NC_007352.1	community_1_subcommunity_3699
CP030660.1	community_1_subcommunity_3699
CP003673.1	community_1_subcommunity_3699
CP030536.1	community_1_subcommunity_3699
NC_009477.1	community_1_subcommunity_3699
CP049491.1	community_1_subcommunity_3699
CP051995.1	community_1_subcommunity_3699
NZ_LT992457.1	community_1_subcommunity_3699
NZ_CP017467.1	community_1_subcommunity_3699
NZ_CP068217.1	community_1_subcommunity_3699
NC_018957.1	community_1_subcommunity_3699
CP051930.1	community_1_subcommunity_3699
NZ_AJ400722.1	community_1_subcommunity_3699
NZ_CP013912.1	community_1_subcommunity_3699
NZ_CP042343.1	community_1_subcommunity_3699
CP030463.1	community_1_subcommunity_3699
NZ_CP014386.1	community_1_subcommunity_3699
NZ_CP029677.1	community_1_subcommunity_3699
NZ_CP029079.1	community_1_subcommunity_3699
CP049372.1	community_1_subcommunity_3699
NC_013326.1	community_1_subcommunity_3699
NZ_CP023496.1	community_1_subcommunity_3699
NZ_KX149096.1	community_1_subcommunity_3699
NC_013393.1	community_1_subcommunity_3699
NZ_CP018777.1	community_1_subcommunity_3699
NZ_CP059681.1	community_1_subcommunity_3699
CP049455.1	community_1_subcommunity_3699
CP049469.1	community_1_subcommunity_3699
NZ_KY978588.1	community_1_subcommunity_3699
NZ_LR130519.1	community_1_subcommunity_3699
NC_013332.1	community_1_subcommunity_3699
LR961949.1	community_1_subcommunity_3699
CP049516.1	community_1_subcommunity_3699
CP049404.1	community_1_subcommunity_3699
NZ_MH587576.1	community_1_subcommunity_3699
CP030416.1	community_1_subcommunity_3699
NZ_LC377540.1	community_1_subcommunity_3699
CP049588.1	community_1_subcommunity_3699
CP052027.1	community_1_subcommunity_3699
CP030473.1	community_1_subcommunity_3699
NZ_CP070061.1	community_1_subcommunity_3699
CP030461.1	community_1_subcommunity_3699
NZ_CP053186.1	community_1_subcommunity_3699
CP030563.1	community_1_subcommunity_3699
CP049385.1	community_1_subcommunity_3699
NZ_LC570860.1	community_1_subcommunity_3699
NZ_CP022907.1	community_1_subcommunity_3699
CP030565.1	community_1_subcommunity_3699
CP030560.1	community_1_subcommunity_3699
NZ_CP066490.1	community_1_subcommunity_3699
NZ_CP035293.1	community_1_subcommunity_3699
NZ_AP020321.1	community_1_subcommunity_3699
NZ_CP047853.1	community_1_subcommunity_3699
CP049557.1	community_1_subcommunity_3699
CP049549.1	community_1_subcommunity_3699
NZ_KR870314.1	community_1_subcommunity_3699
NZ_CP007500.1	community_1_subcommunity_3699
CP064283.1	community_1_subcommunity_3699
NC_013348.1	community_1_subcommunity_3699
CP050006.1	community_1_subcommunity_3699
NZ_KX520649.1	community_1_subcommunity_3699
CP049582.1	community_1_subcommunity_3699
NZ_CP014367.1	community_1_subcommunity_3699
CP049566.1	community_1_subcommunity_3699
NZ_CP014118.1	community_1_subcommunity_3699
CP049466.1	community_1_subcommunity_3699
NC_023278.1	community_1_subcommunity_3699
CP049393.1	community_1_subcommunity_3699
NC_003265.1	community_1_subcommunity_3699
NZ_CP029750.1	community_1_subcommunity_3699
CP051913.1	community_1_subcommunity_3699
CP051908.1	community_1_subcommunity_3699
CP051998.1	community_1_subcommunity_3699
NZ_MF101921.1	community_1_subcommunity_3699
CP030616.1	community_1_subcommunity_3699
CP052030.1	community_1_subcommunity_3699
NZ_CP065659.1	community_1_subcommunity_3699
NZ_CP035289.1	community_1_subcommunity_3699
CP049446.1	community_1_subcommunity_3699
NC_005127.1	community_1_subcommunity_3699
NZ_CP017464.1	community_1_subcommunity_3699
CP030517.1	community_1_subcommunity_3699
NC_013289.1	community_1_subcommunity_3699
NC_013322.1	community_1_subcommunity_3699
NZ_CP012118.2	community_1_subcommunity_3699
CP051911.1	community_1_subcommunity_3699
NZ_CP035006.1	community_1_subcommunity_3699
CP049533.1	community_1_subcommunity_3699
NZ_CP080003.1	community_1_subcommunity_3699
CP030567.1	community_1_subcommunity_3699
NZ_CP011529.1	community_1_subcommunity_3699
NZ_CP007177.1	community_1_subcommunity_3699
NC_010077.1	community_1_subcommunity_3699
NZ_CP068070.1	community_1_subcommunity_3699
NZ_CP022608.1	community_1_subcommunity_3699
NZ_CP053637.1	community_1_subcommunity_3699
NZ_KY499796.1	community_1_subcommunity_3700
CP052170.1	community_1_subcommunity_3700
NZ_MK372393.1	community_1_subcommunity_3700
NZ_CP028536.2	community_1_subcommunity_3700
NZ_MK317995.1	community_1_subcommunity_3700
NZ_AP018836.1	community_1_subcommunity_3700
NZ_MN276079.1	community_1_subcommunity_3700
MW415440.1	community_1_subcommunity_3700
NZ_CP029735.1	community_1_subcommunity_3700
NZ_MH105050.1	community_1_subcommunity_3700
NZ_MH349095.1	community_1_subcommunity_3700
NZ_CP020090.1	community_1_subcommunity_3700
NZ_MK412914.1	community_1_subcommunity_3700
NZ_CP080361.1	community_1_subcommunity_3700
NZ_CP048325.1	community_1_subcommunity_3700
CP055715.1	community_1_subcommunity_3700
CP040446.1	community_1_subcommunity_3700
NZ_CP061386.1	community_1_subcommunity_3700
NC_020811.1	community_1_subcommunity_3700
NZ_CP033057.1	community_1_subcommunity_3700
CP041053.1	community_1_subcommunity_3700
NZ_CP058328.1	community_1_subcommunity_3700
NZ_CP080473.1	community_1_subcommunity_3700
NZ_CP034965.1	community_1_subcommunity_3700
NZ_CP024833.1	community_1_subcommunity_3700
NZ_CP048327.1	community_1_subcommunity_3700
NZ_MF679146.1	community_1_subcommunity_3700
NZ_CP068887.1	community_1_subcommunity_3700
NZ_KP776609.1	community_1_subcommunity_3700
NZ_MH234504.1	community_1_subcommunity_3700
NZ_CP054267.1	community_1_subcommunity_3700
NZ_LC545851.1	community_1_subcommunity_3700
CP056866.1	community_1_subcommunity_3700
NZ_KT362706.1	community_1_subcommunity_3700
NZ_CP042339.1	community_1_subcommunity_3700
NZ_CP068911.1	community_1_subcommunity_3700
NZ_CP029098.1	community_1_subcommunity_3700
NZ_MH234502.1	community_1_subcommunity_3700
NC_019384.1	community_1_subcommunity_3700
NZ_CP074195.1	community_1_subcommunity_3700
NZ_CP068325.1	community_1_subcommunity_3700
NZ_MH909335.1	community_1_subcommunity_3700
NZ_KY499797.1	community_1_subcommunity_3700
NZ_CP021901.1	community_1_subcommunity_3700
NZ_MW080368.1	community_1_subcommunity_3700
NZ_MG702491.1	community_1_subcommunity_3700
NZ_MK372392.1	community_1_subcommunity_3700
NZ_MZ156803.1	community_1_subcommunity_3700
NZ_MN276082.1	community_1_subcommunity_3700
NZ_CP058664.1	community_1_subcommunity_3700
NZ_CP068322.1	community_1_subcommunity_3700
NZ_CP076319.1	community_1_subcommunity_3700
NZ_CP068922.1	community_1_subcommunity_3700
NZ_KX214670.1	community_1_subcommunity_3700
NZ_CP064660.1	community_1_subcommunity_3700
NZ_MH234499.1	community_1_subcommunity_3700
NZ_MN276078.1	community_1_subcommunity_3700
NZ_CP068958.1	community_1_subcommunity_3700
NZ_MH286945.1	community_1_subcommunity_3700
NZ_CP021836.1	community_1_subcommunity_3700
NZ_CP024825.1	community_1_subcommunity_3700
NZ_MF547511.1	community_1_subcommunity_3700
NZ_CP036195.1	community_1_subcommunity_3700
NZ_CP020074.1	community_1_subcommunity_3700
NZ_MG252891.1	community_1_subcommunity_3700
NZ_CP011983.1	community_1_subcommunity_3700
NZ_CP021715.1	community_1_subcommunity_3700
NZ_CP026727.1	community_1_subcommunity_3700
NZ_CP071396.1	community_1_subcommunity_3700
NZ_KY435936.1	community_1_subcommunity_3700
NZ_CP068881.1	community_1_subcommunity_3700
NZ_CP036205.1	community_1_subcommunity_3700
NZ_CP068919.1	community_1_subcommunity_3700
NZ_CP036179.1	community_1_subcommunity_3700
NZ_CP065350.1	community_1_subcommunity_3700
NZ_MF072961.1	community_1_subcommunity_3700
NZ_CP048321.1	community_1_subcommunity_3700
NZ_CP068904.1	community_1_subcommunity_3700
NZ_CP043333.1	community_1_subcommunity_3700
NZ_MK264769.1	community_1_subcommunity_3700
NZ_AP023227.1	community_1_subcommunity_3700
NZ_CP024820.1	community_1_subcommunity_3700
NZ_MN080490.1	community_1_subcommunity_3700
NZ_CP068606.1	community_1_subcommunity_3700
NZ_CP068957.1	community_1_subcommunity_3700
NZ_CP046274.1	community_1_subcommunity_3700
NZ_MN227183.1	community_1_subcommunity_3700
NZ_KX348144.1	community_1_subcommunity_3700
NZ_CP022351.1	community_1_subcommunity_3700
NZ_MH341575.1	community_1_subcommunity_3700
NZ_MK372386.1	community_1_subcommunity_3700
NZ_CP028781.1	community_1_subcommunity_3700
NZ_CP026758.1	community_1_subcommunity_3700
MW415441.1	community_1_subcommunity_3700
NZ_CP050161.1	community_1_subcommunity_3700
NZ_CP068340.1	community_1_subcommunity_3700
CP068929.1	community_1_subcommunity_3700
NZ_CP068938.1	community_1_subcommunity_3700
NZ_CP034284.1	community_1_subcommunity_3700
NZ_MH594478.1	community_1_subcommunity_3700
NZ_CP029245.1	community_1_subcommunity_3700
NZ_CP014006.1	community_1_subcommunity_3700
NZ_MK412918.1	community_1_subcommunity_3700
NZ_CP041175.1	community_1_subcommunity_3700
NZ_CP031234.1	community_1_subcommunity_3700
NZ_CP061110.1	community_1_subcommunity_3700
NZ_CP038280.1	community_1_subcommunity_3700
NZ_MG825368.1	community_1_subcommunity_3700
NZ_KR822247.1	community_1_subcommunity_3700
NZ_MK372388.1	community_1_subcommunity_3700
NZ_LR595693.1	community_1_subcommunity_3700
NZ_CP070442.1	community_1_subcommunity_3700
NZ_CP018435.1	community_1_subcommunity_3700
NZ_MH917281.1	community_1_subcommunity_3700
NZ_MH523639.1	community_1_subcommunity_3700
NZ_CP028784.1	community_1_subcommunity_3700
NZ_CP026577.2	community_1_subcommunity_3700
NZ_CP076461.1	community_1_subcommunity_3700
NZ_KX833071.1	community_1_subcommunity_3700
NZ_MH328008.1	community_1_subcommunity_3700
NZ_CP032305.1	community_1_subcommunity_3700
NZ_MK412919.1	community_1_subcommunity_3700
NZ_MF547507.1	community_1_subcommunity_3700
NZ_CP055250.1	community_1_subcommunity_3700
NZ_CP053726.1	community_1_subcommunity_3700
NZ_CP025142.1	community_1_subcommunity_3700
NC_025130.1	community_1_subcommunity_3700
NZ_CP050157.1	community_1_subcommunity_3700
NZ_KX618702.1	community_1_subcommunity_3700
NZ_CP009776.1	community_1_subcommunity_3700
NZ_KX214671.1	community_1_subcommunity_3700
NZ_CP032889.1	community_1_subcommunity_3700
NZ_CP041048.1	community_1_subcommunity_3700
NZ_KU314941.1	community_1_subcommunity_3700
NZ_CP062857.1	community_1_subcommunity_3700
NZ_MF547509.1	community_1_subcommunity_3700
NZ_CP022575.1	community_1_subcommunity_3700
NZ_CP028577.1	community_1_subcommunity_3700
NZ_CP041931.1	community_1_subcommunity_3700
NZ_MK088485.1	community_1_subcommunity_3700
NZ_MH909343.1	community_1_subcommunity_3700
NZ_MN064714.1	community_1_subcommunity_3700
NZ_AP018142.1	community_1_subcommunity_3700
NZ_CP041033.1	community_1_subcommunity_3700
NZ_KX470735.1	community_1_subcommunity_3700
NZ_CP071692.1	community_1_subcommunity_3700
NZ_CP021682.1	community_1_subcommunity_3700
CP052507.1	community_1_subcommunity_3700
NZ_MK033578.1	community_1_subcommunity_3700
NZ_MN335922.1	community_1_subcommunity_3700
LC521833.1	community_1_subcommunity_3700
NZ_CP025007.1	community_1_subcommunity_3700
NZ_CP025041.1	community_1_subcommunity_3700
NZ_KT824791.1	community_1_subcommunity_3700
NZ_MN200942.1	community_1_subcommunity_3700
NZ_CP080367.1	community_1_subcommunity_3700
NZ_MN937240.1	community_1_subcommunity_3700
NZ_MN017707.1	community_1_subcommunity_3700
NZ_AP021973.1	community_1_subcommunity_3700
NC_023914.1	community_1_subcommunity_3700
NZ_MK450348.1	community_1_subcommunity_3700
NZ_KX960109.1	community_1_subcommunity_3700
NZ_CP029386.1	community_1_subcommunity_3700
NZ_CP035125.1	community_1_subcommunity_3700
NZ_CP045195.1	community_1_subcommunity_3700
NZ_MH909333.1	community_1_subcommunity_3700
NZ_CP023188.1	community_1_subcommunity_3700
NZ_CP059715.1	community_1_subcommunity_3700
NZ_AP023202.1	community_1_subcommunity_3700
CP068837.1	community_1_subcommunity_3700
NZ_CP064177.1	community_1_subcommunity_3700
NZ_CP025145.1	community_1_subcommunity_3700
NZ_CP040399.1	community_1_subcommunity_3700
NZ_CP030344.1	community_1_subcommunity_3700
NZ_MH107030.1	community_1_subcommunity_3700
NZ_CP058945.1	community_1_subcommunity_3700
NZ_CP059006.1	community_1_subcommunity_3700
NZ_MN701975.1	community_1_subcommunity_3700
NZ_AP019679.1	community_1_subcommunity_3700
NZ_MK450349.1	community_1_subcommunity_3700
NZ_MT560074.1	community_1_subcommunity_3700
NZ_CP028786.2	community_1_subcommunity_3700
NZ_AP022129.1	community_1_subcommunity_3700
MW415443.1	community_1_subcommunity_3700
NZ_CP022694.2	community_1_subcommunity_3700
NZ_MH286947.1	community_1_subcommunity_3700
NZ_CP050375.1	community_1_subcommunity_3700
NZ_LC536680.1	community_1_subcommunity_3700
NZ_KU167608.1	community_1_subcommunity_3700
NZ_CP070422.1	community_1_subcommunity_3700
NZ_MK773535.1	community_1_subcommunity_3700
NC_022740.1	community_1_subcommunity_3700
NZ_MF344560.1	community_1_subcommunity_3700
NZ_MN175471.1	community_1_subcommunity_3700
NZ_KX447767.1	community_1_subcommunity_3700
NZ_MT901553.1	community_1_subcommunity_3700
NZ_CP045055.1	community_1_subcommunity_3700
NZ_KY041843.1	community_1_subcommunity_3700
NZ_KX683284.1	community_1_subcommunity_3700
NZ_MH917283.1	community_1_subcommunity_3700
NZ_MK033581.1	community_1_subcommunity_3700
NZ_CP018423.1	community_1_subcommunity_3700
NZ_CP068852.1	community_1_subcommunity_3700
NZ_MT560076.1	community_1_subcommunity_3700
NZ_CP071688.1	community_1_subcommunity_3700
NZ_MN178638.1	community_1_subcommunity_3700
NZ_KX470734.1	community_1_subcommunity_3700
NZ_CP026015.1	community_1_subcommunity_3700
NZ_MK033579.1	community_1_subcommunity_3700
NZ_MW269623.1	community_1_subcommunity_3700
NZ_CP034133.1	community_1_subcommunity_3700
NZ_KX618696.1	community_1_subcommunity_3700
NZ_KX618697.1	community_1_subcommunity_3700
NZ_MT074091.1	community_1_subcommunity_3700
CP071169.1	community_1_subcommunity_3700
NZ_CP054409.1	community_1_subcommunity_3700
NZ_KY296103.1	community_1_subcommunity_3700
NZ_MW242344.1	community_1_subcommunity_3700
NZ_CP043513.1	community_1_subcommunity_3700
NZ_CP021759.1	community_1_subcommunity_3700
NZ_CP068959.1	community_1_subcommunity_3700
NZ_MH061381.1	community_1_subcommunity_3700
NZ_CP020111.1	community_1_subcommunity_3700
NZ_AP018838.1	community_1_subcommunity_3700
NZ_CP021692.1	community_1_subcommunity_3700
NZ_MK450347.1	community_1_subcommunity_3700
NZ_CP030299.1	community_1_subcommunity_3700
NZ_MN847777.1	community_1_subcommunity_3700
NZ_CP049602.1	community_1_subcommunity_3700
LC521848.1	community_1_subcommunity_3700
NZ_LC218099.1	community_1_subcommunity_3700
NZ_CP029100.1	community_1_subcommunity_3700
NZ_MK372391.1	community_1_subcommunity_3700
NZ_KU647721.1	community_1_subcommunity_3700
NZ_MT759838.1	community_1_subcommunity_3700
NZ_MF679147.1	community_1_subcommunity_3700
NZ_MG591703.1	community_1_subcommunity_3700
NC_019157.1	community_1_subcommunity_3700
NZ_MT859329.1	community_1_subcommunity_3700
NZ_CP034744.1	community_1_subcommunity_3700
NZ_MK412915.1	community_1_subcommunity_3700
NZ_MW218142.1	community_1_subcommunity_3700
NZ_MG545911.1	community_1_subcommunity_3700
NZ_KY659388.1	community_1_subcommunity_3700
NZ_MK256964.1	community_1_subcommunity_3700
NZ_MK372380.1	community_1_subcommunity_3700
NZ_MH286946.1	community_1_subcommunity_3700
NZ_CP012563.1	community_1_subcommunity_3700
NZ_CP070064.1	community_1_subcommunity_3700
NZ_CP036312.1	community_1_subcommunity_3700
NZ_MK262709.1	community_1_subcommunity_3700
NZ_CP011987.1	community_1_subcommunity_3700
NZ_MG825382.1	community_1_subcommunity_3700
NZ_KX618701.1	community_1_subcommunity_3700
NZ_MT407546.1	community_1_subcommunity_3700
NZ_CP067096.1	community_1_subcommunity_3700
NZ_MK412920.1	community_1_subcommunity_3700
NZ_MK088486.1	community_1_subcommunity_3700
NZ_CP010395.1	community_1_subcommunity_3700
NZ_CP024290.1	community_1_subcommunity_3700
NZ_MH286949.1	community_1_subcommunity_3700
NZ_CP072470.1	community_1_subcommunity_3700
NZ_CP050158.1	community_1_subcommunity_3700
NZ_CP074431.1	community_1_subcommunity_3700
NZ_MG570092.1	community_1_subcommunity_3700
NZ_CP068328.1	community_1_subcommunity_3700
NZ_CP068612.1	community_1_subcommunity_3700
NZ_MN175389.1	community_1_subcommunity_3700
NZ_KP987216.1	community_1_subcommunity_3700
NZ_CP058621.1	community_1_subcommunity_3700
NZ_CP016920.1	community_1_subcommunity_3700
NZ_MH286950.1	community_1_subcommunity_3700
NZ_CP048009.1	community_1_subcommunity_3700
NZ_MH234505.1	community_1_subcommunity_3700
NZ_AP018837.1	community_1_subcommunity_3700
NZ_MN092230.1	community_1_subcommunity_3700
NZ_CP068925.1	community_1_subcommunity_3700
NZ_MG833404.1	community_1_subcommunity_3700
MG773377.1	community_1_subcommunity_3700
NZ_MF679143.1	community_1_subcommunity_3700
NZ_CP045062.1	community_1_subcommunity_3700
NZ_CP020839.1	community_1_subcommunity_3700
NZ_CP032424.1	community_1_subcommunity_3700
NZ_KX214669.1	community_1_subcommunity_3700
CP041938.1	community_1_subcommunity_3700
NZ_CP021542.1	community_1_subcommunity_3700
NZ_AP023194.1	community_1_subcommunity_3700
NZ_CP047006.1	community_1_subcommunity_3700
NZ_CP048332.1	community_1_subcommunity_3700
NZ_CP024806.1	community_1_subcommunity_3700
NZ_CP021534.1	community_1_subcommunity_3700
NZ_CP031725.1	community_1_subcommunity_3700
NZ_LR130550.1	community_1_subcommunity_3700
NZ_CP037965.1	community_1_subcommunity_3700
MK715437.1	community_1_subcommunity_3700
CP052768.1	community_1_subcommunity_3700
NZ_MF547508.1	community_1_subcommunity_3700
NZ_CP019073.1	community_1_subcommunity_3700
NZ_MK450346.1	community_1_subcommunity_3700
NZ_CP024818.1	community_1_subcommunity_3700
NZ_AP022249.1	community_1_subcommunity_3700
NZ_CP068330.1	community_1_subcommunity_3700
NZ_MG825384.1	community_1_subcommunity_3700
NZ_CP041956.1	community_1_subcommunity_3700
NZ_CP012990.1	community_1_subcommunity_3700
NZ_MN701974.1	community_1_subcommunity_3700
NZ_CP021738.1	community_1_subcommunity_3700
NZ_CP042935.2	community_1_subcommunity_3700
NZ_CP077431.1	community_1_subcommunity_3700
NZ_MH781720.1	community_1_subcommunity_3700
NZ_CP068835.1	community_1_subcommunity_3700
NZ_MH143074.1	community_1_subcommunity_3700
NZ_MH234509.1	community_1_subcommunity_3700
NZ_KY978629.1	community_1_subcommunity_3700
NZ_CP048346.1	community_1_subcommunity_3700
NZ_CP034957.1	community_1_subcommunity_3700
NZ_CP048918.1	community_1_subcommunity_3700
NZ_MH234501.1	community_1_subcommunity_3700
NZ_CP051221.1	community_1_subcommunity_3700
LC633285.1	community_1_subcommunity_3700
NZ_CP068934.1	community_1_subcommunity_3700
NZ_MK033580.1	community_1_subcommunity_3700
NZ_CP020512.1	community_1_subcommunity_3700
NZ_CP024814.1	community_1_subcommunity_3700
NZ_MH105052.1	community_1_subcommunity_3700
NZ_KY930325.1	community_1_subcommunity_3700
NZ_KP765744.1	community_1_subcommunity_3700
NZ_MK412916.1	community_1_subcommunity_3700
NZ_CP075887.1	community_1_subcommunity_3700
NZ_KX960110.1	community_1_subcommunity_3700
NZ_CP023897.1	community_1_subcommunity_3700
NZ_MF458176.1	community_1_subcommunity_3700
NZ_MH917282.1	community_1_subcommunity_3700
NZ_MK308632.1	community_1_subcommunity_3700
NZ_CP012995.1	community_1_subcommunity_3700
NZ_CP059286.1	community_1_subcommunity_3700
NZ_CP039811.1	community_1_subcommunity_3700
NZ_KX674681.1	community_1_subcommunity_3700
NZ_MF415608.1	community_1_subcommunity_3700
NZ_KM400601.1	community_1_subcommunity_3700
NZ_MN061454.1	community_1_subcommunity_3700
CP031373.2	community_1_subcommunity_3700
NC_019083.1	community_1_subcommunity_3700
NZ_MK372381.1	community_1_subcommunity_3700
MG228426.1	community_1_subcommunity_3700
NZ_CP018951.1	community_1_subcommunity_3700
NZ_CP027159.1	community_1_subcommunity_3700
NZ_MG252893.1	community_1_subcommunity_3700
NZ_CP008799.1	community_1_subcommunity_3700
NZ_CP063509.1	community_1_subcommunity_3700
NZ_MK416154.1	community_1_subcommunity_3700
NZ_MT028409.1	community_1_subcommunity_3700
CP035910.1	community_1_subcommunity_3700
NZ_MW296100.1	community_1_subcommunity_3700
NZ_MT441556.1	community_1_subcommunity_3700
NZ_KU934011.1	community_1_subcommunity_3700
CP034323.1	community_1_subcommunity_3700
NZ_CP076308.1	community_1_subcommunity_3700
NZ_KX507346.1	community_1_subcommunity_3700
